5252,98134,Абхазия,г. Сухуми
5411,98134,Абхазия,г. Сухуми
5377,98134,Абхазия,г. Гагра
5376,98134,Абхазия,г. Гудаута
5446,98134,Абхазия,г. Пицунда
5386,98134,Абхазия,г. Очамчира
5475,98134,Абхазия,г. Ткуарчал
5408,98134,Абхазия,г. Гал
5448,98134,Абхазия,пос. Бамбора
5001,2821,Австралия,г. Канберра
5003,2821,Австралия,г. Сидней
5359,2821,Австралия,г. Голд Кост
5457,2821,Австралия,г. Аделаида
5443,2821,Австралия,г. Перт
5002,2821,Австралия,г. Мельбурн
5004,2822,Австрия,г. Вена
5005,2822,Австрия,г. Зальцбург
5006,3001,Азербайджан,г. Баку
5007,3001,Азербайджан,г. Габала
5008,2823,Албания,г. Тирана
5009,2824,Алжир,г. Алжир
5010,2824,Алжир,г. Аннаба
5011,2825,Ангола,г. Луанда
5012,2828,Аргентина,г. Буэнос-Айрес
5013,2829,Афганистан,г. Кабул
5014,2829,Афганистан,г. Мазари-Шариф
5015,3002,Армения,г. Ереван
5016,3002,Армения,г. Ереван
5017,3002,Армения,г. Армавир
5018,3002,Армения,г. Арташат
5019,3002,Армения,г. Мегри
5020,3002,Армения,г. Гюмри
5021,3002,Армения,г. Гюмри
5022,3002,Армения,г. Гюмри
5023,3002,Армения,г. Гюмри
5024,3002,Армения,г. Гюмри
5025,2831,Бангладеш,г. Дакка
5026,2831,Бангладеш,г. Читтагонг
5027,2833,Бахрейн,г. Манама
5028,2835,Бельгия,г. Брюссель
5029,2835,Бельгия,г. Антверпен
5030,2836,Бенин,г. Котону
5033,3003,Белоруссия,г. Минск
5031,3003,Белоруссия,г. Брест
5032,3003,Белоруссия,г. Гродно
5034,3003,Белоруссия,г. Витебск
5035,3003,Белоруссия,г. Гомель
5036,3003,Белоруссия,г. Могилев
5037,3003,Белоруссия,г. Клецк
5369,3003,Белоруссия,г. Бобруйск
5038,2837,Болгария,г. София
5039,2837,Болгария,г. Варна
5040,2837,Болгария,г. Русе
5041,2838,Боливия,г. Ла-Пас
5042,2839,Босния и Герцеговина,г. Сараево
5043,2840,Ботсвана,г. Габороне
5044,2841,Бразилия,г. Бразилиа
5045,2841,Бразилия,г. Рио-де-Жанейро
5046,2841,Бразилия,г. Сан-Паулу
5379,2842,Бруней,г. Бандар-Сери-Бегаван
5047,2844,Бурунди,г. Бужумбура
5048,2848,Великобритания,г. Лондон
5049,2848,Великобритания,г. Лондон
5050,2848,Великобритания,г. Эдинбург
5051,2849,Венгрия,г. Будапешт
5052,2849,Венгрия,г. Дебрецен
5053,2850,Венесуэла,г. Каракас
5054,2851,Вьетнам,г. Ханое
5055,2851,Вьетнам,г. Хошимин
5056,2851,Вьетнам,г. Дананг
5057,2851,Вьетнам,г. Вунгтау
5058,2852,Габон,г. Либревиль
5059,2854,Гайана,г. Джорджтаун
5060,2856,Гана,г. Аккра
5437,2857,Гватемала,г. Гватемала
5062,2859,Гвинея-Бисау,г. Бисау
5063,2858,Гвинея,г. Конакри
5064,2863,Греция,г. Афины
5487,2863,Греция,г. Салоники
5075,2864,Дания,г. Копенгаген
5076,2865,Джибути,г. Джибути
5077,2868,Египет,г. Каир
5078,2868,Египет,г. Александрия
5079,2869,Замбия,г.  Лусака
5080,2871,Зимбабве,г. Хараре
5091,2872,Израиль,г. Арад
5088,2872,Израиль,г. Ашдод
5089,2872,Израиль,г. Ашкелон
5090,2872,Израиль,г. Беэр-Шева
5380,2872,Израиль,г. Иерусалим
5082,2872,Израиль,г. Кармиэль
5083,2872,Израиль,г. Нацерет-Иллит
5084,2872,Израиль,г. Нетания
5086,2872,Израиль,г. Ришон-ле-Цион
5085,2872,Израиль,г. Тель-Авив
5405,2872,Израиль,г. Хадера
5081,2872,Израиль,г. Хайфа
5499,2872,Израиль,г. Эйлат
5092,2872,Израиль,г. Рамалла
5093,2873,Индия,г. Дели
5094,2873,Индия,г. Мумбаи
5095,2873,Индия,г. Калькутта
5096,2873,Индия,г. Ченнаи
5097,2874,Индонезия,г. Джакарта
5098,2875,Иордания,г. Амман
5099,2876,Ирак,г. Багдад
5498,2876,Ирак,г. Басра
5438,2876,Ирак,г. Эрбиль
5100,2877,Иран,г. Тегеран
5460,2877,Иран,г. Решт
5101,2877,Иран,г. Исфаган
5102,2877,Иран,г. Бушер
5104,2878,Ирландия,г. Дублин
5106,2879,Исландия,г. Рейкьявик
5107,2880,Испания,г. Мадрид
5468,2880,Испания,г. Севилья
5409,2880,Испания,г. Лас-Пальмас
5108,2880,Испания,г. Барселона
5109,2881,Италия,г. Рим
5454,2881,Италия,г. Милан
5111,2881,Италия,г. Генуя
5112,2881,Италия,г. Палермо
5113,2882,Йемен,г. Сана
5114,2882,Йемен,г. Аден
5482,2883,Кабо-Верде,г. Прая
5116,3004,Казахстан,г. Астана
5388,3004,Казахстан,г. Кокчетав 
5118,3004,Казахстан,г. Караганда
5119,3004,Казахстан,г. Усть-Каменогорск
5120,3004,Казахстан,г. Павлодар
5121,3004,Казахстан,г. Петропавловск
5124,3004,Казахстан,г. Балхаш
5125,3004,Казахстан,г. Приозерск
5117,3004,Казахстан,г. Алма-Ата
5341,3004,Казахстан,г. Талды-Курган
5365,3004,Казахстан,г. Тараз
5370,3004,Казахстан,г. Чимкент
5122,3004,Казахстан,г. Уральск
5123,3004,Казахстан,г. Атырау
5394,3004,Казахстан,г. Актюбинск
5382,3004,Казахстан,г. Актау
5348,3004,Казахстан,г. Байконур
5349,3004,Казахстан,г. Байконур
5350,3004,Казахстан,г. Байконур
5351,3004,Казахстан,г. Байконур
5352,3004,Казахстан,г. Байконур
5353,3004,Казахстан,г. Байконур
5354,3004,Казахстан,г. Байконур
5126,2886,Канада,г. Оттава
5426,2886,Канада,г. Ванкувер
5127,2886,Канада,г. Монреаль
5329,2886,Канада,г. Торонто
5128,2884,Камбоджа,г. Пномпень
5129,2885,Камерун,г. Яунде
5130,2885,Камерун,г. Дуала
5131,2995,Экваториальная Гвинея,г. Бата
5132,2887,Катар,г. Доха
5133,2888,Кения,г. Найроби
5134,2889,Кипр,г. Никосия
5135,3005,Киргизия,г. Бишкек
5391,3005,Киргизия,г. Кант
5358,3005,Киргизия,г. Каракол
5136,3005,Киргизия,г. Ош
5137,2895,Северная Корея,г. Пхеньян
5138,2895,Северная Корея,г. Чондин
5139,2891,Китай,г. Пекин
5140,2891,Китай,г. Шанхай
5141,2891,Китай,г. Шэньян
5142,2891,Китай,г. Гонконг
